province,cityname,record_date,high,low,weather,wd,ws
上海,上海,2022-8-23,39,28,大雨,东风,3
上海,上海,2022-8-24,30,28,阴,东风,1
上海,上海,2022-8-25,34,26,多云,东风,2
上海,上海,2022-8-26,29,25,多云,东风,1
上海,上海,2022-8-27,27,24,小雨,东北风,1
上海,上海,2022-8-28,29,25,多云,东南风,1
上海,上海,2022-8-29,33,27,阴,东南风,1
上海,上海,2022-8-30,33,25,阴,北风,3
上海,上海,2022-8-31,26,23,小雨,北风,2
上海,上海,2022-7-1,32,25,晴,东南风,2
上海,上海,2022-7-2,32,24,多云,东南风,2
上海,上海,2022-7-3,31,25,多云,东风,1
上海,上海,2022-7-4,33,26,多云,东南风,2
上海,上海,2022-7-5,31,24,小雨到中雨,东风,2
上海,上海,2022-7-6,37,28,多云,南风,2
上海,上海,2022-7-7,36,29,多云,南风,1
上海,上海,2022-7-8,37,28,多云,东风,2
上海,上海,2022-7-9,37,28,多云,南风,1
上海,上海,2022-7-10,30,23,多云,东风,4
上海,上海,2022-7-11,35,27,多云,东南风,2
上海,上海,2022-7-12,28,21,阴,北风,3
上海,上海,2022-7-13,39,29,多云,西南风,1
上海,上海,2022-7-14,40,29,多云,南风,1
上海,上海,2022-7-15,38,27,多云,东北风,1
上海,上海,2022-7-16,34,25,多云,东风,1
上海,上海,2022-7-17,37,26,多云,西南风,1
上海,上海,2022-7-18,34,27,多云,北风,3
上海,上海,2022-7-19,33,27,多云,东南风,1
上海,上海,2022-7-20,36,28,多云,西北风,2
上海,上海,2022-7-21,34,26,多云,东南风,1
上海,上海,2022-7-22,34,28,阴,东南风,2
上海,上海,2022-7-23,38,26,小雨,北风,2
上海,上海,2022-7-24,33,26,多云,东南风,1
上海,上海,2022-7-25,34,27,小雨到中雨,东南风,2
上海,上海,2022-7-26,36,26,多云,东南风,1
上海,上海,2022-7-27,36,28,多云,东南风,1
上海,上海,2022-7-28,36,27,晴,东南风,2
上海,上海,2022-7-29,34,27,多云,东风,2
上海,上海,2022-7-30,31,26,多云,北风,1
上海,上海,2022-7-31,35,26,多云,西北风,1
上海,上海,2022-6-1,34,20,晴,北风,3
上海,上海,2022-6-2,29,21,晴,东南风,2
上海,上海,2022-6-3,27,21,多云,东南风,2
上海,上海,2022-6-4,28,22,小雨到中雨,南风,3
上海,上海,2022-6-5,25,20,多云,北风,1
上海,上海,2022-6-6,30,21,多云,南风,1
上海,上海,2022-6-7,27,16,晴,北风,3
上海,上海,2022-6-8,28,20,多云,东南风,1
上海,上海,2022-6-9,29,22,多云,东南风,1
上海,上海,2022-6-10,26,21,小雨,东风,1
上海,上海,2022-6-11,27,20,多云,东风,1
上海,上海,2022-6-12,23,20,小雨,东南风,2
上海,上海,2022-6-13,23,19,多云,东北风,2
上海,上海,2022-6-14,29,22,晴,东南风,1
上海,上海,2022-6-15,33,24,多云,东南风,1
上海,上海,2022-6-16,34,21,多云,东南风,2
上海,上海,2022-6-17,34,22,多云,东南风,2
上海,上海,2022-6-18,32,24,多云,东南风,1
上海,上海,2022-6-19,31,25,多云,南风,3
上海,上海,2022-6-20,30,23,晴,东风,3
上海,上海,2022-6-21,32,25,多云,东南风,3
上海,上海,2022-6-22,34,26,晴,南风,3
上海,上海,2022-6-23,35,27,多云,西南风,2
上海,上海,2022-6-24,29,25,多云,南风,3
上海,上海,2022-6-25,39,27,多云,南风,2
上海,上海,2022-6-26,35,27,阴,南风,3
上海,上海,2022-6-27,35,27,多云,南风,2
